"Palavra,Classificacao"
"cuquiada, substantivo"
"cura, substantivo"
"curador, verbo"
"curatela, substantivo"
"curativo, substantivo"
"curau, substantivo"
"curia, substantivo"
"curiango, substantivo"
"curiau, substantivo"
"curinga, substantivo"
"curio, substantivo"
"curiosidade, substantivo"
"curioso, substantivo"
"curral, substantivo"
"current, substantivo"
"curriculo, substantivo"
"curriculum vitae, substantivo"
"curriola, substantivo"
"curry, substantivo"
"curso, substantivo"
"curtir, verbo"
"curto, substantivo"
"curul, substantivo"
"curumba, substantivo"
"curupira, substantivo"
"curva, substantivo"
"curvo, substantivo"
"cuscuz, substantivo"
"cuspide, substantivo"
"cuspir, verbo"
"custa, substantivo"
"custar, verbo"
"custo, substantivo"
"custodia, substantivo"
"customer, verbo"
"custos legis, substantivo"
"custoso, substantivo"
"cutelo, substantivo"
"cutia, substantivo"
"cuticula, substantivo"
"cutis, substantivo"
"cutuba, substantivo"
"cutucavam, substantivo"
"cynotis, substantivo"
"czar, verbo"
"dacao, substantivo"
"dacriocito, substantivo"
"dactiloscopia, substantivo"
"dad, substantivo"
"dadaismo, substantivo"
"-dade, substantivo"
"dadiva, substantivo"
"dado, substantivo"
"dado2, substantivo"
"dados, substantivo"
"daffy, substantivo"
"daft, substantivo"
"dagmar, verbo"
"daiquiri, substantivo"
"daisy, substantivo"
"dakota, substantivo"
"dalia, substantivo"
"dalmata, substantivo"
"dalmatica, substantivo"
"dalmo, substantivo"
"dalton, substantivo"
"daltonismo, substantivo"
"dama, substantivo"
"damalisco, substantivo"
"damas, substantivo"
"damasceno, substantivo"
"damasco, substantivo"
"damasio, substantivo"
"damiao, substantivo"
"danado, substantivo"
"danar, verbo"
"danca, substantivo"
"dandelion, substantivo"
"danglars, substantivo"
"daniel, substantivo"
"danilo, substantivo"
"daninho, substantivo"
"dano, substantivo"
"dans, substantivo"
"dantesco, substantivo"
"danula, substantivo"
"dapifero, substantivo"
"dar, verbo"
"dar a luz, substantivo"
"darci, substantivo"
"dardo, substantivo"
"darling, substantivo"
"d'artagnan, substantivo"
"dartro, substantivo"
"dasonomia, substantivo"
"data, substantivo"
"datilografia, substantivo"
"datiloscopia, substantivo"
"dativo, substantivo"
"david, substantivo"
"davidson, substantivo"
"dayane, substantivo"
"daytona, substantivo"
"ddt, substantivo"
"de, substantivo"
"de cor, verbo"
"de cujus, substantivo"
"de marre deci, substantivo"
"de per si, substantivo"
"de repente, substantivo"
"dealbar, verbo"
"deambular, verbo"
"deao, substantivo"
"death, substantivo"
"debalde, substantivo"
"debandar, verbo"
"debate, substantivo"
"debelar, verbo"
"debenture, substantivo"
"debil, substantivo"
"debilidade, substantivo"
"debique, substantivo"
"debito, substantivo"
"deblaterar, verbo"
"debochar, verbo"
"deboche, substantivo"
"debora, substantivo"
"debridamento, substantivo"
"debulhar, verbo"
"debussy, substantivo"
"debutante, substantivo"
"debuxar, verbo"
"dec-, substantivo"
"decada, substantivo"
"decadencia, substantivo"
"decalogo, substantivo"
"decalque, substantivo"
"decametro, substantivo"
"decano, substantivo"
"decantar, verbo"
"decanter, verbo"
"decapar, verbo"
"decapitacao, substantivo"
"decapolis, substantivo"
"decay, substantivo"
"decease, substantivo"
"deceive, substantivo"
"decenio, substantivo"
"decente, substantivo"
"decepar, verbo"
"decepcao, substantivo"
"decidua, substantivo"
"decifrar, verbo"
"decimal, substantivo"
"decio, substantivo"
"decisao, substantivo"
"declaracao, substantivo"
"declarar, verbo"
"declinar, verbo"
"declinio, substantivo"
"declive, substantivo"
"decoar, verbo"
"decodificador, verbo"
"decodificar, verbo"
"decolar, verbo"
"decomposicao, substantivo"
"decompositor, verbo"
"decorar, verbo"
"decoro, substantivo"
"decorrencia, substantivo"
"decorrer, verbo"
"decote, substantivo"
"decrepito, substantivo"
"decrescimento, substantivo"
"decreto, substantivo"
"decubito, substantivo"
"decupagem, substantivo"
"dedal, substantivo"
"dedalo, substantivo"
"dedetizar, verbo"
"dedeu, substantivo"
"dedicacao, substantivo"
"dedicar, verbo"
"dedo, substantivo"
"deduzir, verbo"
"defasagem, substantivo"
"defecar, verbo"
"defectivo, substantivo"
"defeito, substantivo"
"defender, verbo"
"defenestrar, verbo"
"defensiva, substantivo"
"deferencia, substantivo"
"deferir, verbo"
"deferoxamina, substantivo"
"defesa, substantivo"
"deficiencia, substantivo"
"deficit, substantivo"
"definhamento, substantivo"
"definhar, verbo"
"definir, verbo"
"definitivo, substantivo"
"deflacao, substantivo"
"deflorar, verbo"
"deforete, substantivo"
"defraudar, verbo"
"defunto, substantivo"
"degas, substantivo"
"degelo, substantivo"
"degenerar, verbo"
"deglacear, verbo"
"degluticao, substantivo"
"deglutinar, verbo"
"degolar, verbo"
"degradacao, substantivo"
"degradar, verbo"
"degrau, substantivo"
"degredo, substantivo"
"degringolamento, substantivo"
"degringolar, verbo"
"degtradante, substantivo"
"degustar, verbo"
"deidade, substantivo"
"deipara, substantivo"
"deirdre, substantivo"
"deiscencia, substantivo"
"deise, substantivo"
"deismo, substantivo"
"deitar, verbo"
"deixar, verbo"
"deixis, substantivo"
"deja, substantivo"
"deja vu, substantivo"
"dejeto, substantivo"
"delacao, substantivo"
"delaminacao, substantivo"
"delator, verbo"
"delave, substantivo"
"delay, substantivo"
"delcio, substantivo"
"delegado, substantivo"
"delegar, verbo"
"deleitar, verbo"
"deletar, verbo"
"deleterio, substantivo"
"delfim, substantivo"
"delgado, substantivo"
"delibar, verbo"
"deliberar, verbo"
"delicado, substantivo"
"delicia, substantivo"
"delicta, substantivo"
"delimitar, verbo"
"delinquencia, substantivo"
"delinquente, substantivo"
"deliquio, substantivo"
"delir, verbo"
"delirar, verbo"
"delirio, substantivo"
"delitescencia, substantivo"
"delito, substantivo"
"delorean, substantivo"
"delos, substantivo"
"delusao, substantivo"
"demagogo, substantivo"
"demais, substantivo"
"demanda, substantivo"
"demao, substantivo"
"demarche, substantivo"
"demasia, substantivo"
"dematiaceo, substantivo"
"demencia, substantivo"
"demente, substantivo"
"demerara, substantivo"
"demetrio, substantivo"
"demissao, substantivo"
"demitir, verbo"
"demiurgo, substantivo"
"democracia, substantivo"
"demode, substantivo"
"demodex, substantivo"
"demografia, substantivo"
"demolir, verbo"
"demonio, substantivo"
"demonstrar, verbo"
"demorar, verbo"
"demos, substantivo"
"demostenes, substantivo"
"demotico, substantivo"
"demover, verbo"
"demulcente, substantivo"
"denario, substantivo"
"dendrito, substantivo"
"dendrobata, substantivo"
"dendroclasta, substantivo"
"dendroclastia, substantivo"
"dendroide, substantivo"
"dendrolatria, substantivo"
"denegrir, verbo"
"dengo, substantivo"
"dengosa, substantivo"
"dengoso, substantivo"
"dengue, substantivo"
"denise, substantivo"
"denizar, verbo"
"denodo, substantivo"
"denominacao, substantivo"
"denominador, verbo"
"denotacao, substantivo"
"denotativo, substantivo"
"denso, substantivo"
"dentes, substantivo"
"dentifricio, substantivo"
"dentista, substantivo"
"dentro, substantivo"
"denuncia, substantivo"
"denunciar, verbo"
"deontologia, substantivo"
"departamentalizar, verbo"
"departamento, substantivo"
"depauperamento, substantivo"
"dependencia, substantivo"
"depender, verbo"
"deperecimento, substantivo"
"depilacao, substantivo"
"deplorar, verbo"
"depoimento, substantivo"
"depois, substantivo"
"depor, verbo"
"depositar, verbo"
"deposito, substantivo"
"depravacao, substantivo"
"depravar, verbo"
"deprecacao, substantivo"
"deprecar, verbo"
"depreciar, verbo"
"depredar, verbo"
"depressao, substantivo"
"depressivo, substantivo"
"deprime, substantivo"
"depuis, substantivo"
"depuracao, substantivo"
"deputado, substantivo"
"dequitacao, substantivo"
"derail, substantivo"
"derby, substantivo"
"dereck, substantivo"
"dereistico, substantivo"
"derisao, substantivo"
"deriva, substantivo"
"derivado, substantivo"
"dermatite, substantivo"
"dermopigmentacao, substantivo"
"derradeiro, substantivo"
"derramar, verbo"
"derrapar, verbo"
"derrelicao, substantivo"
"derreter, verbo"
"derrisao, substantivo"
"derrocada, substantivo"
"derrogar, verbo"
"derrota, substantivo"
"derrotar, verbo"
"derrubar, verbo"
"derviche, substantivo"
"des, substantivo"
"desabafo, substantivo"
"desabrido, substantivo"
"desabrigo, substantivo"
"desabrochar, verbo"
"desacato, substantivo"
"desacerto, substantivo"
"desacorcoado, substantivo"
"desadorado, substantivo"
"desafio, substantivo"
"desaforo, substantivo"
"desagregacao, substantivo"
"desagregar, verbo"
"desajeitado, substantivo"
"desalinho, substantivo"
"desamparo, substantivo"
"desancar, verbo"
"desanimar, verbo"
"desanimo, substantivo"
"desaparecer, verbo"
"desapego, substantivo"
"desaperceber, verbo"
"desapercebido, substantivo"
"desapontar, verbo"
"desapropriar, verbo"
"desaprovacao, substantivo"
"desarmar, verbo"
"desarrollo, substantivo"
"desarrumado, substantivo"
"desarvorar, verbo"
"desasnar, verbo"
"desassimilar., substantivo"
"desassombro, substantivo"
"desastrado, substantivo"
"desastre, substantivo"
"desatar, verbo"
"desatento, substantivo"
"desatino, substantivo"
"desativar, verbo"
"desaventuranca, substantivo"
"desavir, verbo"
"desbaratar, verbo"
"desbastar, verbo"
"desbotar, verbo"
"desbragado, substantivo"
"desbravar, verbo"
"descalabro, substantivo"
"descamisado, substantivo"
"descampado, substantivo"
"descanso, substantivo"
"descarado, substantivo"
"descartar, verbo"
"descartavel, substantivo"
"descasar, verbo"
"descascado, substantivo"
"descendencia, substantivo"
"descentralizado, substantivo"
"descer, verbo"
"descida, substantivo"
"descoberta, substantivo"
"descobrir, verbo"
"descolorir, verbo"
"descomplicado, substantivo"
"descomunal, substantivo"
"descondicionar, verbo"
"desconfianca, substantivo"
"desconforto, substantivo"
"desconhecido, substantivo"
"desconhecimento, substantivo"
"descontentamento, substantivo"
"desconto, substantivo"
"descontracao, substantivo"
"descrever, verbo"
"descricao, substantivo"
"descriminalizar, verbo"
"descriminar, verbo"
"desculpa, substantivo"
"desculpar, verbo"
"desde, substantivo"
"desdem, substantivo"
"desdenhar, verbo"
"desdita, substantivo"
"desdramatizar, verbo"
"desejo, substantivo"
"desembargador, verbo"
"desembarque, substantivo"
"desembocar, verbo"
"desempenhar, verbo"
"desencarnar, verbo"
"desengomar, verbo"
"desengoncado, substantivo"
"desengoncar, verbo"
"desenho, substantivo"
"desenlacamento, substantivo"
"desenlace, substantivo"
"desenredo, substantivo"
"desentupir, verbo"
"desenvolver, verbo"
"desenvolvimento, substantivo"
"desenxabido, substantivo"
"desequilibrio, substantivo"
"desertar, verbo"
"deserto, substantivo"
"desesperar, verbo"
"desestimular, verbo"
"desfacatez, substantivo"
"desfalcar, verbo"
"desfalecer, verbo"
"desfecho, substantivo"
"desfeita, substantivo"
"desfiar, verbo"
"desfibrilador, verbo"
"desfiladeiro, substantivo"
"desfile, substantivo"
"desflorestar, verbo"
"desforco, substantivo"
"desforra, substantivo"
"desfrutar, verbo"
"desgarrar, verbo"
"desgastar, verbo"
"desgaste, substantivo"
"desgraca, substantivo"
"desgrenhado, substantivo"
"desguarnecer, verbo"
"desiderato, substantivo"
"desidia, substantivo"
"design, substantivo"
"designar, verbo"
"designio, substantivo"
"desigualdade, substantivo"
"desilusao, substantivo"
"desinencia, substantivo"
"desinfeccao, substantivo"
"desinformacao, substantivo"
"desire, substantivo"
"desistencia, substantivo"
"desjejum, substantivo"
"desktop, substantivo"
"desligar, verbo"
"deslindar, verbo"
"deslize, substantivo"
"deslocamento, substantivo"
"deslumbrante, substantivo"
"deslustrar, verbo"
"desmaio, substantivo"
"desmanche, substantivo"
"desmantelar, verbo"
"desmatamento, substantivo"
"desmistificar, verbo"
"desmontar, verbo"
"desmoronamento, substantivo"
"desmossoma, substantivo"
"desnaturalizacao, substantivo"
"desnaturar, verbo"
"desnortear, verbo"
"desnudo, substantivo"
"desobediancia, substantivo"
"desobstruir, verbo"
"desodorante, substantivo"
"desolado, substantivo"
"desole, substantivo"
"desonestidade, substantivo"
"desopilar, verbo"
"desordem, substantivo"
"desorientado, substantivo"
"desoxirribonucleico, substantivo"
"desoxirribose, substantivo"
"despachar, verbo"
"despacho, substantivo"
"despauterio, substantivo"
"despedir, verbo"
"despeito, substantivo"
"despejar, verbo"
"despena, substantivo"
"despender, verbo"
"despensa, substantivo"
"despercebido, substantivo"
"desperdicador, verbo"
"desperdicar, verbo"
"desperdicio, substantivo"
"despersonalizacao, substantivo"
"despertador, verbo"
"despertar, verbo"
"despesa, substantivo"
"despiciendo, substantivo"
"despir, verbo"
"despirocar, verbo"
"despojo, substantivo"
"desposado, substantivo"
"despota, substantivo"
"desprender, verbo"
"desprendimento, substantivo"
"desprezar, verbo"
"desprezo, substantivo"
"desproposito, substantivo"
"desprovido, substantivo"
"desquitado, substantivo"
"desquitar, verbo"
"desramar, verbo"
"desrespeito, substantivo"
"dessert, substantivo"
"dessumir, verbo"
"destaque, substantivo"
"destarte, substantivo"
"destemor, verbo"
"desterro, substantivo"
"destilar, verbo"
"destino, substantivo"
"destituir, verbo"
"destrambelhado, substantivo"
"destreza, substantivo"
"destrincar, verbo"
"destrinchar, verbo"
"destro, substantivo"
"destrocar, verbo"
"destroco, substantivo"
"destruir, verbo"
"desultorio, substantivo"
"desumano, substantivo"
"desvairado, substantivo"
"desvalido, substantivo"
"desvanecer, verbo"
"desvelo, substantivo"
"desvencilhar, verbo"
"desviar, verbo"
"desvirtuar, verbo"
"detalhe, substantivo"
"detectar, verbo"
"detencao, substantivo"
"detente, substantivo"
"deter, verbo"
"detergente, substantivo"
"deterioramento, substantivo"
"deteriorar, verbo"
"determinacao, substantivo"
"determinado, substantivo"
"determinar, verbo"
"detestar, verbo"
"detetive, substantivo"
"detonacao, substantivo"
"detonar, verbo"
"detrator, verbo"
"detrimento, substantivo"
"detrito, substantivo"
"detrussor, verbo"
"detumescencia, substantivo"
"deturpar, verbo"
"deus, substantivo"
"deuteranopia, substantivo"
"deutero-, substantivo"
"deuterocanonico, substantivo"
"deuteromiceto, substantivo"
"deuteronomio, substantivo"
"deuteroplasma, substantivo"
"deuterostomado, substantivo"
"deuterostomia, substantivo"
"deuterotoquia, substantivo"
"deutoplasma, substantivo"
"deutsch, substantivo"
"devagar, verbo"
"devaneio, substantivo"
"devasso, substantivo"
"devastar, verbo"
"devenir, verbo"
"dever, verbo"
"deveras, substantivo"
"devil, substantivo"
"devir, verbo"
"devocao, substantivo"
"devolucao, substantivo"
"devolver, verbo"
"devoniano, substantivo"
"devorar, verbo"
"devotar, verbo"
"dextrina, substantivo"
"dextro, substantivo"
"dextroescoliose, substantivo"
"dez, substantivo"
"dezembro, substantivo"
"dia, substantivo"
"diabete, substantivo"
"diabetes mellitus, substantivo"
"diabo, substantivo"
"diabolico, substantivo"
"diabolo., substantivo"
"diacho, substantivo"
"diacinese, substantivo"
"diacono, substantivo"
"diacritico, substantivo"
"diacronico, substantivo"
"diadema, substantivo"
"diadoco, substantivo"
"diafano, substantivo"
"diafise, substantivo"
"diaforese, substantivo"
"diafragma, substantivo"
"diagnostico, substantivo"
"diagonal, substantivo"
"diagrama, substantivo"
"dial, substantivo"
"dialetica, substantivo"
"dialeto, substantivo"
"dialise, substantivo"
"dialogismo, substantivo"
"dialogo, substantivo"
"diamante, substantivo"
"diamba, substantivo"
"diamesico, substantivo"
"diametro, substantivo"
"diana, substantivo"
"dianoia, substantivo"
"diapasao, substantivo"
"diapedese, substantivo"
"diario, substantivo"
"diarquia, substantivo"
"diarreia, substantivo"
"diartrose, substantivo"
"diaspora, substantivo"
"diastema, substantivo"
"diastereoisomero, substantivo"
"diastereomero, substantivo"
"diastole, substantivo"
"diastolico, substantivo"
"diastratico, substantivo"
"diastrofismo, substantivo"
"diatese, substantivo"
"diatessaron, substantivo"
"diatomacea, substantivo"
"diatomita, substantivo"
"diatonica, substantivo"
"diatonico, substantivo"
"diatopico, substantivo"
"diatribe, substantivo"
"diazeuxis, substantivo"
"diazotrofico, substantivo"
"diblastico, substantivo"
"dibujo, substantivo"
"dica, substantivo"
"dicasterio, substantivo"
"dicaz, substantivo"
"diccao, substantivo"
"dicha, substantivo"
"dichote, substantivo"
"dicionario, substantivo"
"dicionario etimologico, substantivo"
"dicionarios etimologicos, substantivo"
"dicionarizacao, substantivo"
"diclina, substantivo"
"dicotiledonea, substantivo"
"dicotomia, substantivo"
"dicroico, substantivo"
"dicrotico, substantivo"
"dicroto, substantivo"
"dictiossoma, substantivo"
"dictioteno, substantivo"
"didascalia, substantivo"
"didatica, substantivo"
"didelfideo, substantivo"
"didelfo, substantivo"
"diedro, substantivo"
"diegese, substantivo"
"diego, substantivo"
"diencefalo, substantivo"
"dierese, substantivo"
"dieric, substantivo"
"diesel, substantivo"
"diet, substantivo"
"dieta, substantivo"
"difamacao, substantivo"
"difamar, verbo"
"diferenca, substantivo"
"diferencial, substantivo"
"diferente, substantivo"
"diferir, verbo"
"dificil, substantivo"
"dificuldade, substantivo"
"difiodonte, substantivo"
"difteria, substantivo"
"difundir, verbo"
"difusao, substantivo"
"difuso, substantivo"
"difusor, verbo"
"digerir, verbo"
"digest, substantivo"
"digesto, substantivo"
"digital, substantivo"
"digitigrado, substantivo"
"digladiar, verbo"
"dignidade, substantivo"
"digno, substantivo"
"digrafo, substantivo"
"digressao, substantivo"
"dilacao, substantivo"
"dilacerar, verbo"
"dilapidador, verbo"
"dilapidar, verbo"
"dilatacao, substantivo"
"dildo, substantivo"
"dilecao, substantivo"
"dilecta, substantivo"
"dileguossi, substantivo"
"dilema, substantivo"
"diletante, substantivo"
"dileto, substantivo"
"diligencia, substantivo"
"diligente, substantivo"
"dilma, substantivo"
"diluir, verbo"
"diluvio, substantivo"
"dimas, substantivo"
"dimensao, substantivo"
"diminuicao, substantivo"
"diminuir, verbo"
"dimorfismo, substantivo"
"dinamarca, substantivo"
"dinamico, substantivo"
"dinamite, substantivo"
"dinamo, substantivo"
"dinastia, substantivo"
"dinda, substantivo"
"dineina, substantivo"
"dingo, substantivo"
"dingobel, substantivo"
"dinheiro, substantivo"
"dino-, substantivo"
"dinoflagelado, substantivo"
"dinophyta, substantivo"
"dinossauro, substantivo"
"diocese, substantivo"
"dioclecio, substantivo"
"diodo, substantivo"
"diogo, substantivo"
"diomira, substantivo"
"dioneio, substantivo"
"dioniso, substantivo"
"dioptra, substantivo"
"dioptria, substantivo"
"diorama, substantivo"
"dios, substantivo"
"dioscuros, substantivo"
"diospiro, substantivo"
"dioxido, substantivo"
"diplacusia, substantivo"
"diplococo, substantivo"
"diploe, substantivo"
"diploide, substantivo"
"diploma, substantivo"
"diplomacia, substantivo"
"diplonte, substantivo"
"diploteno, substantivo"
"dipolo, substantivo"
"dipsomania, substantivo"
"dique, substantivo"
"dirceu, substantivo"
"direcao, substantivo"
"direita, substantivo"
"direito, substantivo"
"direto, substantivo"
"diretriz, substantivo"
"dirigente, substantivo"
"dirigir, verbo"
"dirimir, verbo"
"diruptivo, substantivo"
"disacusia, substantivo"
"disartrofonia, substantivo"
"disc, substantivo"
"discente, substantivo"
"discernir, verbo"
"disciplina, substantivo"
"disciplinado, substantivo"
"discipulo, substantivo"
"disclimax, substantivo"
"disco, substantivo"
"discocefalo, substantivo"
"discolo, substantivo"
"discordar, verbo"
"discordia, substantivo"
"discorrer, verbo"
"discrasia, substantivo"
"discrepar, verbo"
"discreto, substantivo"
"discricao, substantivo"
"discriminar, verbo"
"discurso, substantivo"
"discus proligerus, substantivo"
"discussao, substantivo"
"disdiadococinesia, substantivo"
"disease, substantivo"
"disenteria, substantivo"
"disfagia, substantivo"
"disfarce, substantivo"
"disfluencia, substantivo"
"disfonia, substantivo"
"disforia, substantivo"
"disidrose, substantivo"
"disjuncao, substantivo"
"dislate, substantivo"
"dislexia, substantivo"
"dismorfia, substantivo"
"disorexia, substantivo"
"disparate, substantivo"
"disparo, substantivo"
"dispendio, substantivo"
"dispensacao, substantivo"
"dispensar, verbo"
"dispepsia, substantivo"
"dispersar, verbo"
"display, substantivo"
"displicencia, substantivo"
"dispneia, substantivo"
"disponivel, substantivo"
"dispor, verbo"
"disposicao, substantivo"
"dispositivo, substantivo"
"disputar, verbo"
"disquezia, substantivo"
"disruptivo, substantivo"
"dissabor, verbo"
"dissecar, verbo"
"dissentir, verbo"
"dissertar, verbo"
"dissidente, substantivo"
"dissidio, substantivo"
"dissilabo, substantivo"
"dissimular, verbo"
"dissipar, verbo"
"dissociacao, substantivo"
"dissociar, verbo"
"dissolucao, substantivo"
"dissoluto, substantivo"
"dissonancia, substantivo"
"dissonar, verbo"
"dissonia, substantivo"
"dissuadir, verbo"
"distanasia, substantivo"
"distancia, substantivo"
"distender, verbo"
"distensao, substantivo"
"distico, substantivo"
"distimia, substantivo"
"distincao, substantivo"
"distinguir, verbo"
"distinto, substantivo"
"distocia, substantivo"
"distonia, substantivo"
"distopia, substantivo"
"distorcer, verbo"
"distracao, substantivo"
"distrair, verbo"
"distribuir, verbo"
"distrito, substantivo"
"distrofia, substantivo"
"distrofina, substantivo"
"disturbio, substantivo"
"dita, substantivo"
"ditador, verbo"
"ditadura, substantivo"
"ditafone, substantivo"
"ditame, substantivo"
"ditar, verbo"
"diterpeno, substantivo"
"ditirambo, substantivo"
"dito, substantivo"
"ditongo, substantivo"
"ditoso, substantivo"
"diuretico, substantivo"
"diuturno, substantivo"
"diva, substantivo"
"divagar, verbo"
"divergente, substantivo"
"divergir, verbo"
"diversao, substantivo"
"diversidade, substantivo"
"diversor, verbo"
"diverticulo, substantivo"
"divertido, substantivo"
"divertimento, substantivo"
"divida, substantivo"
"dividendo, substantivo"
"dividir, verbo"
"divinatorio, substantivo"
"divindade, substantivo"
"divino, substantivo"
"divisa, substantivo"
"divisao, substantivo"
"divorcio, substantivo"
"divulgar, verbo"
"dizer, verbo"
"dizimar, verbo"
"dizimo, substantivo"
"dj, substantivo"
"django, substantivo"
"djs, substantivo"
"dna, substantivo"
"do, substantivo"
"do2, substantivo"
"doacao, substantivo"
"doar, verbo"
"dobra, substantivo"
"dobrado, substantivo"
"dobrao, substantivo"
"dobrar, verbo"
"dobre, substantivo"
"dobre a finados, substantivo"
"doca, substantivo"
"doce, substantivo"
"docencia, substantivo"
"docente, substantivo"
"docetismo, substantivo"
"docil, substantivo"
"docimasia, substantivo"
"documentario, substantivo"
"documento, substantivo"
"docura, substantivo"
"dodecaedro, substantivo"
"dodecateismo, substantivo"
"dodo, substantivo"
"doenca, substantivo"
"doer, verbo"
"dog, substantivo"
"doge, substantivo"
"dogma, substantivo"
"doido, substantivo"
"dois, substantivo"
"dois-pontos, substantivo"
"dolar, verbo"
"doldrums, substantivo"
"dolico-, substantivo"
"dolo, substantivo"
"dolores, substantivo"
"doloroso, substantivo"
"doloso, substantivo"
"dom, substantivo"
"domador, verbo"
"domesticar, verbo"
"domestico, substantivo"
"domicilio, substantivo"
"domificar, verbo"
"dominador, verbo"
"dominante, substantivo"
"domingo, substantivo"
"dominical, substantivo"
"dominicano, substantivo"
"dominio, substantivo"
"domino, substantivo"
"domo, substantivo"
"donaire, substantivo"
"donatella, substantivo"
"donatista, substantivo"
"donc, substantivo"
"dondoca, substantivo"
"doninha, substantivo"
"donizetti, substantivo"
"donnally, substantivo"
"dono, substantivo"
"donzel, substantivo"
"donzela, substantivo"
"doom, substantivo"
"dopado, substantivo"
"dopamina, substantivo"
"dopar, verbo"
"doping, substantivo"
"dopo, substantivo"
"doppelganger, verbo"
"dor, verbo"
"dorasnal, substantivo"
"doravante, substantivo"
"dorios, substantivo"
"dormente, substantivo"
"dorminhoco, substantivo"
"dormir, verbo"
"dormitar, verbo"
"dormitorio, substantivo"
"dorna, substantivo"
"dorsal, substantivo"
"dorso, substantivo"
"dosar, verbo"
"dossel, substantivo"
"dossie, substantivo"
"dote, substantivo"
"douglas, substantivo"
"doula, substantivo"
"douto, substantivo"
"doutor, verbo"
"doutorado, substantivo"
"doutrina, substantivo"
"dove, substantivo"
"dovere, substantivo"
"download, substantivo"
"downtown, substantivo"
"doxa, substantivo"
"doxologia, substantivo"
"doze, substantivo"
"dracma, substantivo"
"draco, substantivo"
"draconiano, substantivo"
"dracunculo, substantivo"
"draga, substantivo"
"dragagem, substantivo"
"dragao, substantivo"
"dragea, substantivo"
"dragoes, substantivo"
"drakkar, verbo"
"drama, substantivo"
"dramaturgia, substantivo"
"drapear, verbo"
"drapejar, verbo"
"drastico, substantivo"
"drault, substantivo"
"draw, substantivo"
"drenar, verbo"
"drepanocitose, substantivo"
"dress, substantivo"
"drible, substantivo"
"drink, substantivo"
"droga, substantivo"
"drogaria, substantivo"
"drolatico, substantivo"
"dromedario, substantivo"
"dromologia, substantivo"
"dromotropismo, substantivo"
"droop, substantivo"
"druida, substantivo"
"drumette, substantivo"
"drusa, substantivo"
"druso, substantivo"
"dualista, substantivo"
"dubio, substantivo"
"dubitacao, substantivo"
"dubitativo, substantivo"
"dublado, substantivo"
"ducado, substantivo"
"duce, substantivo"
"ducha, substantivo"
"ductibilidade, substantivo"
"ductil, substantivo"
"ducto, substantivo"
"duelo, substantivo"
"duende, substantivo"
"dueto, substantivo"
"dulcor, verbo"
"dulia, substantivo"
"duma, substantivo"
"dunque, substantivo"
"duplicar, verbo"
"duplicata, substantivo"
"duque, substantivo"
"duques, substantivo"
"dura cerviz, substantivo"
"dura mater, verbo"
"duracao, substantivo"
"duradouro, substantivo"
"durar, verbo"
"duro, substantivo"
"durval, substantivo"
"dust, substantivo"
"dutch, substantivo"
"duunviro, substantivo"
"duvida, substantivo"
"duvidar, verbo"
"duzia, substantivo"
"dvd, substantivo"
"dwell, substantivo"
"dylan, substantivo"
"dyonisos, substantivo"
"e comercial, substantivo"
"e-mail, substantivo"
"e tal, substantivo"
"each, substantivo"
"earl, substantivo"
"easter, verbo"
"eat, substantivo"
"eau, substantivo"
"ebenezer, verbo"
"ebola, substantivo"
"ebona, substantivo"
"ebony, substantivo"
"ebrio, substantivo"
"ebuliometria, substantivo"
"ebulioscopia, substantivo"
"eca, substantivo"
"ecbolico, substantivo"
"ecdemomania, substantivo"
"ecese, substantivo"
"echar, verbo"
"echarpe, substantivo"
"eclair, verbo"
"eclampsia, substantivo"
"eclesiastes, substantivo"
"eclesiologia, substantivo"
"ecletico, substantivo"
"eclipse, substantivo"
"ecloga, substantivo"
"eclosao, substantivo"
"eclusa, substantivo"
"eco, substantivo"
"ecogenicidade, substantivo"
"ecografia, substantivo"
"ecologia, substantivo"
"ecologico, substantivo"
"economia, substantivo"
"ecosfera, substantivo"
"ecossistema, substantivo"
"ecotono, substantivo"
"ecoturismo, substantivo"
"ecrom, substantivo"
"ectlipse, substantivo"
"ectoderme, substantivo"
"ectoparasita, substantivo"
"ectopia, substantivo"
"ectotermico, substantivo"
"ectotrix, substantivo"
"ecumenico, substantivo"
"ecumenismo, substantivo"
"eczema, substantivo"
"-ed, substantivo"
"edafologia, substantivo"
"edema, substantivo"
"eden, substantivo"
"eder, verbo"
"edgar, verbo"
"edge, substantivo"
"edicao, substantivo"
"edificar, verbo"
"edificio, substantivo"
"edify, substantivo"
"edil, substantivo"
"edilaine, substantivo"
"edilicio, substantivo"
"edipo, substantivo"
"edison, substantivo"
"edital, substantivo"
"editar, verbo"
"edmundo, substantivo"
"edna, substantivo"
"ednah, substantivo"
"edom, substantivo"
"edredom, substantivo"
"edson, substantivo"
"eduardo, substantivo"
"educacao, substantivo"
"educar, verbo"
"educativo, substantivo"
"edulcorante, substantivo"
"edviges, substantivo"
"efata, substantivo"
"efedra, substantivo"
"efeito, substantivo"
"efemerides, substantivo"
"efemero, substantivo"
"eferente, substantivo"
"efervescente, substantivo"
"efeso, substantivo"
"efetividade, substantivo"
"efetivo, substantivo"
"efetuar, verbo"
"efialta, substantivo"
"eficacia, substantivo"
"eficiencia, substantivo"
"efigenio, substantivo"
"efigie, substantivo"
"efira, substantivo"
"efluente, substantivo"
